President_Name,Start_Date,End_Date,Approval,Disapproval,Unsure/No_Data
Barack Obama,8/21/15,8/23/15,45,51,4
Barack Obama,8/20/15,8/22/15,42,53,5
Barack Obama,8/19/15,8/21/15,43,53,4
Barack Obama,8/18/15,8/20/15,45,50,5
Barack Obama,8/17/15,8/19/15,45,50,5
Barack Obama,8/16/15,8/18/15,46,49,5
Barack Obama,8/15/15,8/17/15,44,51,5
Barack Obama,8/14/15,8/16/15,46,49,5
Barack Obama,8/13/15,8/15/15,45,50,5
Barack Obama,8/12/15,8/14/15,45,49,6
Barack Obama,8/11/15,8/13/15,47,49,4
Barack Obama,8/10/15,8/12/15,46,49,5
Barack Obama,8/9/15,8/11/15,49,47,4
Barack Obama,8/8/15,8/10/15,48,48,4
Barack Obama,8/7/15,8/9/15,47,49,4
Barack Obama,8/6/15,8/8/15,45,50,5
Barack Obama,8/5/15,8/7/15,44,52,4
Barack Obama,8/4/15,8/6/15,45,51,4
Barack Obama,8/3/15,8/5/15,45,51,4
Barack Obama,8/2/15,8/4/15,46,50,4
Barack Obama,8/1/15,8/3/15,46,50,4
Barack Obama,7/31/15,8/2/15,47,49,4
Barack Obama,7/30/15,8/1/15,47,48,5
Barack Obama,7/29/15,7/31/15,46,49,5
Barack Obama,7/28/15,7/30/15,47,48,5
Barack Obama,7/27/15,7/29/15,45,49,6
Barack Obama,7/26/15,7/28/15,46,49,5
Barack Obama,7/25/15,7/27/15,44,50,6
Barack Obama,7/24/15,7/26/15,46,49,5
Barack Obama,7/23/15,7/25/15,46,49,5
Barack Obama,7/22/15,7/24/15,46,49,5
Barack Obama,7/21/15,7/23/15,46,49,5
Barack Obama,7/20/15,7/22/15,45,50,5
Barack Obama,7/19/15,7/21/15,46,49,5
Barack Obama,7/18/15,7/20/15,45,50,5
Barack Obama,7/17/15,7/19/15,47,48,5
Barack Obama,7/16/15,7/18/15,46,48,6
Barack Obama,7/15/15,7/17/15,47,47,6
Barack Obama,7/14/15,7/16/15,46,48,6
Barack Obama,7/13/15,7/15/15,45,49,6
Barack Obama,7/12/15,7/14/15,46,49,5
Barack Obama,7/11/15,7/13/15,46,49,5
Barack Obama,7/10/15,7/12/15,47,48,5
Barack Obama,7/9/15,7/11/15,45,49,6
Barack Obama,7/8/15,7/10/15,46,50,4
Barack Obama,7/7/15,7/9/15,44,51,5
Barack Obama,7/6/15,7/8/15,46,50,4
Barack Obama,7/5/15,7/7/15,47,48,5
Barack Obama,7/3/15,7/6/15,48,47,5
Barack Obama,7/2/15,7/5/15,46,48,6
Barack Obama,7/1/15,7/3/15,45,50,5
Barack Obama,6/30/15,7/2/15,44,51,5
Barack Obama,6/29/15,7/1/15,45,51,4
Barack Obama,6/28/15,6/30/15,46,50,4
Barack Obama,6/27/15,6/29/15,46,50,4
Barack Obama,6/26/15,6/28/15,48,47,5
Barack Obama,6/25/15,6/27/15,47,49,4
Barack Obama,6/24/15,6/26/15,47,49,4
Barack Obama,6/23/15,6/25/15,46,50,4
Barack Obama,6/22/15,6/24/15,46,49,5
Barack Obama,6/21/15,6/23/15,46,48,6
Barack Obama,6/20/15,6/22/15,45,49,6
Barack Obama,6/19/15,6/21/15,45,50,5
Barack Obama,6/18/15,6/20/15,44,50,6
Barack Obama,6/17/15,6/19/15,44,50,6
Barack Obama,6/16/15,6/18/15,44,50,6
Barack Obama,6/15/15,6/17/15,44,50,6
Barack Obama,6/14/15,6/16/15,47,47,6
Barack Obama,6/13/15,6/15/15,46,48,6
Barack Obama,6/12/15,6/14/15,47,48,5
Barack Obama,6/11/15,6/13/15,45,49,6
Barack Obama,6/10/15,6/12/15,45,49,6
Barack Obama,6/9/15,6/11/15,44,51,5
Barack Obama,6/8/15,6/10/15,43,51,6
Barack Obama,6/7/15,6/9/15,45,49,6
Barack Obama,6/6/15,6/8/15,49,46,5
Barack Obama,6/5/15,6/7/15,46,48,6
Barack Obama,6/4/15,6/6/15,46,50,4
Barack Obama,6/3/15,6/5/15,45,50,5
Barack Obama,6/1/15,6/4/15,46,50,4
Barack Obama,5/31/15,6/3/15,47,49,4
Barack Obama,5/30/15,6/1/15,47,48,5
Barack Obama,5/29/15,5/31/15,49,47,4
Barack Obama,5/28/15,5/30/15,47,49,4
Barack Obama,5/27/15,5/29/15,47,48,5
Barack Obama,5/26/15,5/28/15,45,49,6
Barack Obama,5/25/15,5/27/15,45,49,6
Barack Obama,5/24/15,5/26/15,44,51,5
Barack Obama,5/23/15,5/25/15,47,49,4
Barack Obama,5/22/15,5/24/15,49,47,4
Barack Obama,5/21/15,5/23/15,49,47,4
Barack Obama,5/20/15,5/22/15,45,50,5
Barack Obama,5/19/15,5/21/15,42,53,5
Barack Obama,5/18/15,5/20/15,43,51,6
Barack Obama,5/17/15,5/19/15,46,49,5
Barack Obama,5/16/15,5/18/15,48,47,5
Barack Obama,5/15/15,5/17/15,48,47,5
Barack Obama,5/14/15,5/16/15,48,48,4
Barack Obama,5/13/15,5/15/15,47,49,4
Barack Obama,5/12/15,5/14/15,46,50,4
Barack Obama,5/11/15,5/13/15,45,49,6
Barack Obama,5/10/15,5/12/15,46,48,6
Barack Obama,5/9/15,5/11/15,46,48,6
Barack Obama,5/8/15,5/10/15,47,47,6
Barack Obama,5/7/15,5/9/15,46,49,5
Barack Obama,5/6/15,5/8/15,46,49,5
Barack Obama,5/5/15,5/7/15,48,47,5
Barack Obama,5/4/15,5/6/15,48,47,5
Barack Obama,5/3/15,5/5/15,47,49,4
Barack Obama,5/2/15,5/4/15,46,49,5
Barack Obama,5/1/15,5/3/15,46,49,5
Barack Obama,4/30/15,5/2/15,48,48,4
Barack Obama,4/29/15,5/1/15,47,49,4
Barack Obama,4/28/15,4/30/15,49,47,4
Barack Obama,4/27/15,4/29/15,49,47,4
Barack Obama,4/26/15,4/28/15,49,47,4
Barack Obama,4/25/15,4/27/15,46,48,6
Barack Obama,4/24/15,4/26/15,46,48,6
Barack Obama,4/23/15,4/25/15,46,48,6
Barack Obama,4/22/15,4/24/15,47,48,5
Barack Obama,4/21/15,4/23/15,45,49,6
Barack Obama,4/20/15,4/22/15,44,50,6
Barack Obama,4/19/15,4/21/15,45,50,5
Barack Obama,4/18/15,4/20/15,46,50,4
Barack Obama,4/17/15,4/19/15,45,51,4
Barack Obama,4/16/15,4/18/15,44,51,5
Barack Obama,4/15/15,4/17/15,45,51,4
Barack Obama,4/14/15,4/16/15,47,50,3
Barack Obama,4/13/15,4/15/15,47,50,3
Barack Obama,4/12/15,4/14/15,46,49,5
Barack Obama,4/11/15,4/13/15,45,50,5
Barack Obama,4/10/15,4/12/15,47,49,4
Barack Obama,4/9/15,4/11/15,48,48,4
Barack Obama,4/8/15,4/10/15,49,47,4
Barack Obama,4/7/15,4/9/15,47,49,4
Barack Obama,4/6/15,4/8/15,48,48,4
Barack Obama,4/4/15,4/7/15,46,49,5
Barack Obama,4/3/15,4/6/15,49,46,5
Barack Obama,4/2/15,4/4/15,47,47,6
Barack Obama,4/1/15,4/3/15,50,46,4
Barack Obama,3/31/15,4/2/15,48,48,4
Barack Obama,3/30/15,4/1/15,46,49,5
Barack Obama,3/29/15,3/31/15,45,49,6
Barack Obama,3/28/15,3/30/15,47,48,5
Barack Obama,3/27/15,3/29/15,49,46,5
Barack Obama,3/26/15,3/28/15,48,47,5
Barack Obama,3/25/15,3/27/15,47,49,4
Barack Obama,3/24/15,3/26/15,45,51,4
Barack Obama,3/23/15,3/25/15,44,52,4
Barack Obama,3/22/15,3/24/15,45,50,5
Barack Obama,3/21/15,3/23/15,45,50,5
Barack Obama,3/20/15,3/22/15,44,51,5
Barack Obama,3/19/15,3/21/15,43,52,5
Barack Obama,3/18/15,3/20/15,44,51,5
Barack Obama,3/17/15,3/19/15,46,49,5
Barack Obama,3/16/15,3/18/15,46,48,6
Barack Obama,3/15/15,3/17/15,47,48,5
Barack Obama,3/14/15,3/16/15,47,48,5
Barack Obama,3/13/15,3/15/15,48,47,5
Barack Obama,3/12/15,3/14/15,48,47,5
Barack Obama,3/11/15,3/13/15,48,47,5
Barack Obama,3/10/15,3/12/15,47,48,5
Barack Obama,3/9/15,3/11/15,46,49,5
Barack Obama,3/8/15,3/10/15,45,50,5
Barack Obama,3/7/15,3/9/15,46,49,5
Barack Obama,3/6/15,3/8/15,47,49,4
Barack Obama,3/5/15,3/7/15,47,49,4
Barack Obama,3/4/15,3/6/15,45,50,5
Barack Obama,3/3/15,3/5/15,45,50,5
Barack Obama,3/2/15,3/4/15,46,49,5
Barack Obama,3/1/15,3/3/15,48,47,5
Barack Obama,2/28/15,3/2/15,49,47,4
Barack Obama,2/27/15,3/1/15,47,48,5
Barack Obama,2/26/15,2/28/15,44,51,5
Barack Obama,2/25/15,2/27/15,42,53,5
Barack Obama,2/24/15,2/26/15,43,51,6
Barack Obama,2/23/15,2/25/15,43,52,5
Barack Obama,2/22/15,2/24/15,45,51,4
Barack Obama,2/21/15,2/23/15,45,51,4
Barack Obama,2/20/15,2/22/15,46,48,6
Barack Obama,2/19/15,2/21/15,45,50,5
Barack Obama,2/18/15,2/20/15,45,50,5
Barack Obama,2/17/15,2/19/15,44,51,5
Barack Obama,2/16/15,2/18/15,47,49,4
Barack Obama,2/15/15,2/17/15,48,48,4
Barack Obama,2/14/15,2/16/15,50,47,3
Barack Obama,2/13/15,2/15/15,49,48,3
Barack Obama,2/12/15,2/14/15,48,48,4
Barack Obama,2/11/15,2/13/15,47,49,4
Barack Obama,2/10/15,2/12/15,47,49,4
Barack Obama,2/9/15,2/11/15,46,49,5
Barack Obama,2/8/15,2/10/15,46,49,5
Barack Obama,2/7/15,2/9/15,46,49,5
Barack Obama,2/6/15,2/8/15,46,49,5
Barack Obama,2/5/15,2/7/15,45,50,5
Barack Obama,2/3/15,2/6/15,46,49,5
Barack Obama,2/2/15,2/5/15,45,50,5
Barack Obama,1/31/15,2/3/15,45,50,5
Barack Obama,1/30/15,2/2/15,46,49,5
Barack Obama,1/29/15,1/31/15,47,47,6
Barack Obama,1/28/15,1/30/15,49,46,5
Barack Obama,1/27/15,1/29/15,49,47,4
Barack Obama,1/26/15,1/28/15,47,49,4
Barack Obama,1/25/15,1/27/15,49,46,5
Barack Obama,1/24/15,1/26/15,48,46,6
Barack Obama,1/23/15,1/25/15,50,45,5
Barack Obama,1/22/15,1/24/15,48,48,4
Barack Obama,1/20/15,1/23/15,48,49,3
Barack Obama,1/19/15,1/22/15,47,49,4
Barack Obama,1/18/15,1/20/15,46,48,6
Barack Obama,1/17/15,1/19/15,45,49,6
Barack Obama,1/16/15,1/18/15,44,51,7
Barack Obama,1/15/15,1/17/15,46,50,4
Barack Obama,1/14/15,1/16/15,47,49,4
Barack Obama,1/13/15,1/15/15,48,47,5
Barack Obama,1/12/15,1/14/15,46,48,6
Barack Obama,1/11/15,1/13/15,46,48,6
Barack Obama,1/10/15,1/12/15,47,48,5
Barack Obama,1/9/15,1/11/15,46,48,6
Barack Obama,1/8/15,1/10/15,44,50,6
Barack Obama,1/7/15,1/9/15,44,50,6
Barack Obama,1/6/15,1/8/15,44,49,7
Barack Obama,1/5/15,1/7/15,46,47,7
Barack Obama,1/4/15,1/6/15,45,48,7
Barack Obama,1/3/15,1/5/15,46,48,6
Barack Obama,1/2/15,1/4/15,44,49,7
Barack Obama,12/30/14,1/3/15,46,48,6
Barack Obama,12/29/14,1/2/15,48,47,5
Barack Obama,12/28/14,12/30/14,47,48,5
Barack Obama,12/27/14,12/29/14,48,48,4
Barack Obama,12/26/14,12/28/14,45,50,5
Barack Obama,12/23/14,12/27/14,46,49,5
Barack Obama,12/22/14,12/26/14,43,51,6
Barack Obama,12/21/14,12/23/14,43,50,7
Barack Obama,12/20/14,12/22/14,44,51,5
Barack Obama,12/19/14,12/21/14,47,49,4
Barack Obama,12/18/14,12/20/14,47,49,4
Barack Obama,12/17/14,12/19/14,45,50,5
Barack Obama,12/16/14,12/18/14,43,52,5
Barack Obama,12/15/14,12/17/14,42,52,6
Barack Obama,12/14/14,12/16/14,42,52,5
Barack Obama,12/13/14,12/15/14,43,52,5
Barack Obama,12/12/14,12/14/14,44,51,5
Barack Obama,12/10/14,12/13/14,43,52,5
Barack Obama,12/9/14,12/12/14,44,51,5
Barack Obama,12/8/14,12/10/14,42,53,5
Barack Obama,12/7/14,12/9/14,44,51,5
Barack Obama,12/6/14,12/8/14,44,52,4
Barack Obama,12/5/14,12/7/14,44,51,5
Barack Obama,12/3/14,12/6/14,43,51,6
Barack Obama,12/2/14,12/5/14,41,52,7
Barack Obama,12/1/14,12/3/14,42,52,6
Barack Obama,11/30/14,12/2/14,41,53,6
Barack Obama,11/29/14,12/1/14,45,50,5
Barack Obama,11/28/14,11/30/14,45,50,5
Barack Obama,11/26/14,11/29/14,44,51,5
Barack Obama,11/25/14,11/28/14,43,53,4
Barack Obama,11/24/14,11/26/14,41,54,5
Barack Obama,11/23/14,11/25/14,44,52,4
Barack Obama,11/22/14,11/24/14,43,52,5
Barack Obama,11/21/14,11/23/14,43,52,5
Barack Obama,11/20/14,11/22/14,42,54,4
Barack Obama,11/19/14,11/21/14,41,55,4
Barack Obama,11/18/14,11/20/14,41,54,5
Barack Obama,11/17/14,11/19/14,42,53,5
Barack Obama,11/16/14,11/18/14,42,52,6
Barack Obama,11/15/14,11/17/14,43,51,6
Barack Obama,11/14/14,11/16/14,44,51,5
Barack Obama,11/13/14,11/15/14,44,51,5
Barack Obama,11/12/14,11/14/14,42,53,5
Barack Obama,11/11/14,11/13/14,42,52,6
Barack Obama,11/10/14,11/12/14,41,53,6
Barack Obama,11/9/14,11/11/14,42,52,6
Barack Obama,11/8/14,11/10/14,39,56,5
Barack Obama,11/7/14,11/9/14,40,55,5
Barack Obama,11/6/14,11/8/14,39,56,5
Barack Obama,11/5/14,11/7/14,40,55,5
Barack Obama,11/4/14,11/6/14,41,54,5
Barack Obama,11/3/14,11/5/14,41,53,6
Barack Obama,11/2/14,11/4/14,43,51,6
Barack Obama,11/1/14,11/3/14,42,53,5
Barack Obama,10/30/14,11/2/14,41,54,5
Barack Obama,10/29/14,11/1/14,40,54,6
Barack Obama,10/28/14,10/30/14,41,54,5
Barack Obama,10/27/14,10/29/14,43,52,5
Barack Obama,10/26/14,10/28/14,42,53,5
Barack Obama,10/25/14,10/27/14,42,53,5
Barack Obama,10/24/14,10/26/14,42,52,6
Barack Obama,10/23/14,10/25/14,43,52,5
Barack Obama,10/22/14,10/24/14,43,53,4
Barack Obama,10/21/14,10/23/14,42,54,4
Barack Obama,10/20/14,10/22/14,40,54,6
Barack Obama,10/19/14,10/21/14,41,54,5
Barack Obama,10/18/14,10/20/14,40,54,6
Barack Obama,10/17/14,10/19/14,40,55,5
Barack Obama,10/16/14,10/18/14,40,55,5
Barack Obama,10/15/14,10/17/14,42,53,5
Barack Obama,10/14/14,10/16/14,43,51,6
Barack Obama,10/13/14,10/15/14,42,52,6
Barack Obama,10/12/14,10/14/14,40,55,5
Barack Obama,10/11/14,10/13/14,41,54,5
Barack Obama,10/10/14,10/12/14,42,53,5
Barack Obama,10/9/14,10/11/14,42,54,4
Barack Obama,10/8/14,10/10/14,39,57,4
Barack Obama,10/7/14,10/9/14,39,56,5
Barack Obama,10/6/14,10/8/14,40,55,5
Barack Obama,10/5/14,10/7/14,44,51,5
Barack Obama,10/4/14,10/6/14,44,50,6
Barack Obama,10/3/14,10/5/14,44,50,6
Barack Obama,10/2/14,10/4/14,42,53,5
Barack Obama,10/1/14,10/3/14,41,55,4
Barack Obama,9/30/14,10/2/14,42,54,4
Barack Obama,9/29/14,10/1/14,42,54,4
Barack Obama,9/28/14,9/30/14,44,52,4
Barack Obama,9/27/14,9/29/14,43,52,5
Barack Obama,9/26/14,9/28/14,43,52,5
Barack Obama,9/24/14,9/26/14,42,53,5
Barack Obama,9/23/14,9/25/14,42,52,6
Barack Obama,9/22/14,9/24/14,42,53,5
Barack Obama,9/21/14,9/23/14,44,51,5
Barack Obama,9/20/14,9/22/14,44,51,5
Barack Obama,9/19/14,9/21/14,45,50,5
Barack Obama,9/18/14,9/20/14,42,53,5
Barack Obama,9/17/14,9/19/14,40,55,5
Barack Obama,9/16/14,9/18/14,42,53,5
Barack Obama,9/15/14,9/17/14,42,53,5
Barack Obama,9/14/14,9/16/14,43,53,4
Barack Obama,9/13/14,9/15/14,41,55,4
Barack Obama,9/12/14,9/14/14,41,54,5
Barack Obama,9/11/14,9/13/14,41,54,5
Barack Obama,9/10/14,9/12/14,40,54,6
Barack Obama,9/9/14,9/11/14,41,54,5
Barack Obama,9/8/14,9/10/14,40,54,6
Barack Obama,9/7/14,9/9/14,42,52,6
Barack Obama,9/6/14,9/8/14,42,52,6
Barack Obama,9/5/14,9/7/14,42,53,5
Barack Obama,9/3/14,9/6/14,40,53,7
Barack Obama,9/2/14,9/5/14,38,54,8
Barack Obama,9/1/14,9/3/14,38,54,8
Barack Obama,8/31/14,9/2/14,39,54,7
Barack Obama,8/30/14,9/1/14,42,52,6
Barack Obama,8/29/14,8/31/14,42,51,7
Barack Obama,8/28/14,8/30/14,42,51,7
Barack Obama,8/27/14,8/29/14,41,52,7
Barack Obama,8/26/14,8/28/14,41,53,6
Barack Obama,8/25/14,8/27/14,40,54,6
Barack Obama,8/24/14,8/26/14,41,53,6
Barack Obama,8/23/14,8/25/14,42,51,7
Barack Obama,8/22/14,8/24/14,42,51,7
Barack Obama,8/21/14,8/23/14,40,52,8
Barack Obama,8/20/14,8/22/14,41,53,6
Barack Obama,8/19/14,8/21/14,43,50,7
Barack Obama,8/18/14,8/20/14,44,50,6
Barack Obama,8/17/14,8/19/14,43,51,6
Barack Obama,8/16/14,8/18/14,42,51,7
Barack Obama,8/15/14,8/17/14,41,53,6
Barack Obama,8/14/14,8/16/14,41,53,6
Barack Obama,8/13/14,8/15/14,41,53,6
Barack Obama,8/12/14,8/14/14,42,51,7
Barack Obama,8/11/14,8/13/14,40,53,7
Barack Obama,8/10/14,8/12/14,42,53,5
Barack Obama,8/9/14,8/11/14,41,55,4
Barack Obama,8/8/14,8/10/14,43,52,5
Barack Obama,8/6/14,8/8/14,43,51,6
Barack Obama,8/5/14,8/7/14,44,50,6
Barack Obama,8/4/14,8/6/14,41,53,6
Barack Obama,8/3/14,8/5/14,41,53,6
Barack Obama,8/2/14,8/4/14,42,53,5
Barack Obama,8/1/14,8/3/14,42,53,5
Barack Obama,7/31/14,8/2/14,41,54,5
Barack Obama,7/30/14,8/1/14,42,53,5
Barack Obama,7/29/14,7/31/14,42,53,5
Barack Obama,7/28/14,7/30/14,41,54,5
Barack Obama,7/27/14,7/29/14,39,55,6
Barack Obama,7/26/14,7/28/14,40,54,6
Barack Obama,7/25/14,7/27/14,41,52,7
Barack Obama,7/24/14,7/26/14,40,52,8
Barack Obama,7/23/14,7/25/14,40,53,7
Barack Obama,7/22/14,7/24/14,39,54,7
Barack Obama,7/21/14,7/23/14,42,52,6
Barack Obama,7/20/14,7/22/14,42,51,7
Barack Obama,7/19/14,7/21/14,44,49,7
Barack Obama,7/18/14,7/20/14,44,50,6
Barack Obama,7/17/14,7/19/14,44,52,4
Barack Obama,7/16/14,7/18/14,43,53,4
Barack Obama,7/15/14,7/17/14,42,53,5
Barack Obama,7/14/14,7/16/14,42,52,6
Barack Obama,7/13/14,7/15/14,43,51,6
Barack Obama,7/12/14,7/14/14,44,51,5
Barack Obama,7/11/14,7/13/14,43,52,5
Barack Obama,7/10/14,7/12/14,42,53,5
Barack Obama,7/9/14,7/11/14,42,53,5
Barack Obama,7/8/14,7/10/14,41,55,4
Barack Obama,7/7/14,7/9/14,42,53,5
Barack Obama,7/6/14,7/8/14,42,54,4
Barack Obama,7/5/14,7/7/14,44,51,5
Barack Obama,7/3/14,7/6/14,44,52,4
Barack Obama,7/2/14,7/5/14,45,51,4
Barack Obama,7/1/14,7/3/14,43,52,5
Barack Obama,6/30/14,7/2/14,41,53,6
Barack Obama,6/29/14,7/1/14,40,54,6
Barack Obama,6/28/14,6/30/14,41,53,6
Barack Obama,6/27/14,6/29/14,42,52,6
Barack Obama,6/26/14,6/28/14,43,51,6
Barack Obama,6/25/14,6/27/14,43,51,6
Barack Obama,6/24/14,6/26/14,42,52,6
Barack Obama,6/23/14,6/25/14,42,52,6
Barack Obama,6/22/14,6/24/14,42,53,5
Barack Obama,6/21/14,6/23/14,42,53,5
Barack Obama,6/20/14,6/22/14,40,55,5
Barack Obama,6/19/14,6/21/14,41,54,5
Barack Obama,6/18/14,6/20/14,40,54,6
Barack Obama,6/17/14,6/19/14,41,54,5
Barack Obama,6/16/14,6/18/14,41,55,4
Barack Obama,6/15/14,6/17/14,41,54,5
Barack Obama,6/14/14,6/16/14,41,53,6
Barack Obama,6/13/14,6/15/14,41,53,6
Barack Obama,6/12/14,6/14/14,40,55,5
Barack Obama,6/11/14,6/13/14,41,54,5
Barack Obama,6/10/14,6/12/14,43,51,6
Barack Obama,6/9/14,6/11/14,45,49,6
Barack Obama,6/8/14,6/10/14,46,47,7
Barack Obama,6/7/14,6/9/14,44,50,6
Barack Obama,6/6/14,6/8/14,45,49,6
Barack Obama,6/5/14,6/7/14,43,51,6
Barack Obama,6/4/14,6/6/14,44,50,6
Barack Obama,6/2/14,6/5/14,43,51,6
Barack Obama,6/1/14,6/4/14,43,51,6
Barack Obama,5/31/14,6/2/14,43,52,5
Barack Obama,5/30/14,6/1/14,44,51,5
Barack Obama,5/29/14,5/31/14,44,52,4
Barack Obama,5/28/14,5/30/14,44,52,4
Barack Obama,5/27/14,5/29/14,45,51,4
Barack Obama,5/26/14,5/28/14,45,50,5
Barack Obama,5/25/14,5/27/14,45,50,5
Barack Obama,5/24/14,5/26/14,44,52,4
Barack Obama,5/23/14,5/25/14,44,52,4
Barack Obama,5/22/14,5/24/14,42,54,4
Barack Obama,5/21/14,5/23/14,44,51,5
Barack Obama,5/20/14,5/22/14,44,51,5
Barack Obama,5/19/14,5/21/14,45,49,6
Barack Obama,5/18/14,5/20/14,42,52,6
Barack Obama,5/17/14,5/19/14,42,53,5
Barack Obama,5/16/14,5/18/14,43,52,5
Barack Obama,5/15/14,5/17/14,44,51,5
Barack Obama,5/14/14,5/16/14,46,48,6
Barack Obama,5/13/14,5/15/14,44,49,7
Barack Obama,5/12/14,5/14/14,44,50,6
Barack Obama,5/11/14,5/13/14,45,49,6
Barack Obama,5/10/14,5/12/14,46,49,5
Barack Obama,5/9/14,5/11/14,44,50,6
Barack Obama,5/8/14,5/10/14,45,50,5
Barack Obama,5/7/14,5/9/14,45,50,5
Barack Obama,5/6/14,5/8/14,47,48,5
Barack Obama,5/5/14,5/7/14,44,51,5
Barack Obama,5/4/14,5/6/14,45,50,5
Barack Obama,5/3/14,5/5/14,43,52,5
Barack Obama,5/2/14,5/4/14,44,51,5
Barack Obama,5/1/14,5/3/14,42,53,5
Barack Obama,4/30/14,5/2/14,43,51,6
Barack Obama,4/29/14,5/1/14,45,49,6
Barack Obama,4/28/14,4/30/14,46,49,5
Barack Obama,4/27/14,4/29/14,43,52,5
Barack Obama,4/26/14,4/28/14,44,52,4
Barack Obama,4/25/14,4/27/14,43,52,5
Barack Obama,4/24/14,4/26/14,45,50,5
Barack Obama,4/23/14,4/25/14,44,51,5
Barack Obama,4/22/14,4/24/14,44,50,6
Barack Obama,4/21/14,4/23/14,45,49,6
Barack Obama,4/19/14,4/22/14,45,49,6
Barack Obama,4/18/14,4/21/14,46,48,6
Barack Obama,4/17/14,4/19/14,45,49,6
Barack Obama,4/16/14,4/18/14,45,49,6
Barack Obama,4/15/14,4/17/14,43,50,7
Barack Obama,4/14/14,4/16/14,42,51,7
Barack Obama,4/13/14,4/15/14,42,52,6
Barack Obama,4/12/14,4/14/14,43,51,6
Barack Obama,4/11/14,4/13/14,44,50,6
Barack Obama,4/10/14,4/12/14,43,51,6
Barack Obama,4/9/14,4/11/14,43,51,6
Barack Obama,4/8/14,4/10/14,42,52,6
Barack Obama,4/7/14,4/9/14,42,52,6
Barack Obama,4/6/14,4/8/14,44,51,5
Barack Obama,4/5/14,4/7/14,44,51,5
Barack Obama,4/4/14,4/6/14,44,52,4
Barack Obama,4/3/14,4/5/14,42,53,5
Barack Obama,4/2/14,4/4/14,43,53,4
Barack Obama,4/1/14,4/3/14,45,50,5
Barack Obama,3/31/14,4/2/14,45,50,5
Barack Obama,3/30/14,4/1/14,44,50,6
Barack Obama,3/29/14,3/31/14,44,51,5
Barack Obama,3/28/14,3/30/14,45,50,5
Barack Obama,3/27/14,3/29/14,43,52,5
Barack Obama,3/26/14,3/28/14,43,52,5
Barack Obama,3/25/14,3/27/14,40,54,6
Barack Obama,3/24/14,3/26/14,42,53,5
Barack Obama,3/23/14,3/25/14,42,52,6
Barack Obama,3/22/14,3/24/14,45,50,5
Barack Obama,3/21/14,3/23/14,44,51,5
Barack Obama,3/20/14,3/22/14,43,53,4
Barack Obama,3/19/14,3/21/14,40,55,5
Barack Obama,3/18/14,3/20/14,43,52,5
Barack Obama,3/17/14,3/19/14,45,49,6
Barack Obama,3/16/14,3/18/14,45,49,6
Barack Obama,3/15/14,3/17/14,41,52,7
Barack Obama,3/14/14,3/16/14,40,55,5
Barack Obama,3/13/14,3/15/14,40,54,6
Barack Obama,3/12/14,3/14/14,39,55,6
Barack Obama,3/11/14,3/13/14,40,54,6
Barack Obama,3/10/14,3/12/14,41,54,5
Barack Obama,3/9/14,3/11/14,43,52,5
Barack Obama,3/8/14,3/10/14,45,51,4
Barack Obama,3/7/14,3/9/14,45,51,4
Barack Obama,3/5/14,3/8/14,45,51,4
Barack Obama,3/4/14,3/6/14,42,55,3
Barack Obama,3/3/14,3/5/14,41,55,4
Barack Obama,3/2/14,3/4/14,42,54,4
Barack Obama,3/1/14,3/3/14,43,52,5
Barack Obama,2/28/14,3/2/14,42,54,4
Barack Obama,2/27/14,3/1/14,40,56,4
Barack Obama,2/26/14,2/28/14,40,56,4
Barack Obama,2/25/14,2/27/14,42,54,6
Barack Obama,2/24/14,2/26/14,42,54,4
Barack Obama,2/23/14,2/25/14,43,54,3
Barack Obama,2/22/14,2/24/14,44,53,3
Barack Obama,2/21/14,2/23/14,44,52,4
Barack Obama,2/20/14,2/22/14,44,51,5
Barack Obama,2/19/14,2/21/14,44,51,5
Barack Obama,2/18/14,2/20/14,45,50,5
Barack Obama,2/17/14,2/19/14,46,50,4
Barack Obama,2/16/14,2/18/14,44,50,6
Barack Obama,2/15/14,2/17/14,42,52,6
Barack Obama,2/14/14,2/16/14,41,53,6
Barack Obama,2/13/14,2/15/14,41,53,6
Barack Obama,2/12/14,2/14/14,40,52,8
Barack Obama,2/11/14,2/13/14,40,52,8
Barack Obama,2/10/14,2/12/14,39,51,10
Barack Obama,2/9/14,2/11/14,40,51,9
Barack Obama,2/8/14,2/10/14,42,50,8
Barack Obama,2/7/14,2/9/14,42,51,7
Barack Obama,2/6/14,2/8/14,41,51,8
Barack Obama,2/5/14,2/7/14,39,52,9
Barack Obama,2/3/14,2/6/14,40,51,9
Barack Obama,2/1/14,2/5/14,41,50,9
Barack Obama,1/31/14,2/3/14,40,51,9
Barack Obama,1/30/14,2/1/14,41,51,8
Barack Obama,1/29/14,1/31/14,42,51,7
Barack Obama,1/28/14,1/30/14,43,50,7
Barack Obama,1/27/14,1/29/14,42,49,9
Barack Obama,1/26/14,1/28/14,41,50,9
Barack Obama,1/25/14,1/27/14,41,50,9
Barack Obama,1/24/14,1/26/14,41,52,7
Barack Obama,1/23/14,1/25/14,42,51,7
Barack Obama,1/22/14,1/24/14,43,50,7
Barack Obama,1/21/14,1/23/14,43,49,8
Barack Obama,1/20/14,1/22/14,42,49,9
Barack Obama,1/19/14,1/21/14,42,49,9
Barack Obama,1/18/14,1/20/14,41,50,9
